Ryan Reynolds,making dumb comedies,CS
Charles Foster Kane,publishing newspapers,DS
Dean Martin,singing middle-of-the-road songs,CS
Han Solo,fighting for the rebel alliance,DS
Harry Potter,performing magic tricks,DS
Rico Tubbs,arresting drug dealers,DS
Julian Assange,promoting openness,CS
Sergey Brin,building a search engine,CS
Tyler Durden,making soap,DS
John Calvin,promoting conservative values,CS + DS
Jeremy Paxman,interviewing politicians,CS
Niccolò Machiavelli,currying favour,CS
Richard Dawkins,ranting about religion,CS
Bridget Jones,smoking cigarettes,DS
Tyler Durden,subverting social conventions,DS
El Chappo,running a crime family,CS + DS
Warren Buffett,investing money,CS + DS
Basil Fawlty,terrorizing employees,DS
Wyatt Earp,punishing crime,CS
P. T. Barnum,piquing public interest,CS
Ophelia,talking in riddles,DS
Richard Dawkins,explaining natural selection,CS + DS
Rico Tubbs,tracking down criminals,DS
Bridget Jones,reading self-help books,DS
Winston Churchill,fighting against totalitarianism,CS
Winston Churchill,coining sparkling witticisms,CS + DS
Thomas Edison,patenting new technologies ,CS
Frank Underwood,climbing social ladders,DS
Jerry Lewis,doing slapstick comedy,CS
Ryan Reynolds,starring in Hollywood movies,CS
Charles Foster Kane,promoting yellow journalism,DS
Julian Assange,leaking state secrets,CS
Harriet Tubman,fighting for civil rights,CS + DS
Hercule Poirot,solving crimes,DS
Rupert Murdoch,telling politicians what to do,CS
Natasha Romanova,foiling the schemes of evil villains,DS
Han Solo,doing the Kessel run,DS
Dean Martin,recording pop songs,CS
Bridget Jones,keeping a diary,DS
Jeremy Paxman,posing pointed questions,CS
Sergey Brin,performing Web searches,CS
Rupert Murdoch,running a media empire,CS
Charles Foster Kane,running a newspaper empire,DS
Niccolò Machiavelli,developing cunning plans,CS
Silvio Berlusconi,throwing Bunga Bunga parties,CS
Bridget Jones,reading Cosmopolitan,DS
Frank Underwood,wielding political power,DS
Croesus,ruining an empire,CS
Thomas Edison,developing new technologies,CS + DS
Natasha Romanova,seducing miltary officers,DS
Louis Armstrong,singing jazz songs,CS
Gandalf the Grey,blowing smoke rings,DS
Galileo Galilei,promoting Heliocentrism,CS
Barney Stinson,seducing women,DS
Freddy Krueger,slashing victims,DS
The Joker,causing mayhem,DS
Rico Tubbs,preventing crime,DS
Pepé Le Pew,chasing cats,DS
Basil Fawlty,running a hotel,DS
Judge Joe Dredd,punishing criminals,DS
Ronald Reagan,promoting conservative values,CS
Boy George,writing pop songs,CS
Dr. Dre,producing Hipbop records,CS
Stevie Wonder,writing pop songs,CS
Le Chiffre,cheating at poker,DS
