Richard Nixon,promoting conservative values,CS
Pythagoras,proving math theorems,CS + DS
Charles Darwin,explaining natural selection,CS
Mr. Spock,studying science,DS
Conan the Barbarian,foiling the schemes of evil villains,DS
Buddy Holly,writing pop songs,CS
Nancy Drew,solving mysteries,DS
Professor Charles Xavier,running a school for gifted teens,DS
Boudicca,leading revolts,CS
Robert E. Lee,leading armies into battle,CS
Sergey Brin,running a tech giant,CS + DS
Willy Wonka,inventing new confectionary,DS
Tracy Jordan,starring in comedies,DS
Donald Rumsfeld,holding evasive press conferences,CS
Salman Rushdie,surviving fatwas,CS
Doctor Stephen Strange,brewing magican potions,DS
Donald Trump,developing real estate,CS + DS
Batman,maintaining a secret identity,DS
Travis Bickle,planning assassinations,DS
Confucius,spreading philosophy,CS
René Descartes,teaching philosophy,CS
Alexander Fleming,studying science,CS + DS
Confucius,teaching philosophy,CS
John McCain,running for the senate,CS
Le Chiffre,playing Baccarat ,DS
Doctor Stephen Strange,studying magic tricks,DS
George Michael,writing pop songs,CS + DS
Gordon Ramsay,cursing at kitchen staff,CS + DS
JD Salinger,eluding the public gaze,CS + DS
Gustavo Fring,running a criminal empire,DS
Amy Winehouse,singing jazz songs,CS
Oscar Wilde,writing plays,CS
R2D2,carrying secret plans,DS
Roseanne Barr,promoting conservative values,CS
Ophelia,talking in riddles,DS
Sam Winchester,hunting demons,DS
Steve Martin,playing the banjo,CS
Bertie Wooster,doing the Charleston,DS
Joey Tribbiani,starring in daytime soap operas,DS
Bruce Banner,losing control,DS
Ridley Scott,directing science fiction movies,CS
Lord Byron,scandalizing polite society,CS
Richard Dawkins,promoting Darwinism,CS + DS
Mel Gibson,directing action movies,CS
Sam Winchester,drinking demon blood,DS
Selma Bouvier,smoking Laramie Hi-Tars,DS
Lucille Ball,starring in sit-coms,CS
Timothy McGee,solving mysteries,DS
Lex Luthor,launching hostile takeovers,DS
Ricky Martin,enjoying salsa dancing,CS
Jesus Christ,healing the sick,CS + DS
Carrie Bradshaw,gossiping with galpals,DS
Marcel Duchamp,reusing readymades,CS
Severus Snape,studying magic tricks,DS
Hugh Hefner,publishing soft pornography,CS
Obi-wan Kenobi,duelling acrobatically,DS
Edmund Blackadder,wielding political power,DS
Michael O'Leary,selling cheap airline seats,CS
Anthony Scaramucci,managing hedge funds,CS
Gustavo Fring,deep-frying chicken,DS
Ron Burgundy,maintaining salon-quality hair,DS
Mel Gibson,driving under the influence,CS
King Richard III,devising evil schemes,CS + DS
Bob Cratchit,keeping accounts,DS
Kim Jong-Il,issuing threats,CS
Hellboy,hunting demons,DS
Sam Winchester,hunting monsters,DS
Saddam Hussein,amassing weapons,CS
Donald Rumsfeld,offering gnostic advice,CS
Le Chiffre,cheating at poker,DS
Mister Magoo,causing mayhem,DS
Richard Dawkins,explaining evolution,CS
Donald Rumsfeld,blanketing staff with memos,CS
Benedict Arnold,betraying friends,CS
Hellboy,killing demons,DS
Agent Phil Coulson,running a clandestine spy organization,DS
Lady Macbeth,manipulating political pawns,DS
Matt Drudge,promoting conservative values,CS + DS
Elvis Presley,frying peanut-butter and banana sandwiches,CS
Han Solo,doing the Kessel run,DS
Inspector Jacques Clouseau,solving mysteries,DS
Emmeline Pankhurst ,promoting feminism,CS
John Constantine,exorcising demons,DS
Bridget Jones,looking for love,DS
Batman,tricking criminals,DS
Warren Buffett,giving investment advice,CS
Orson Welles,directing indy movies,CS
Steve Martin,starring in comedies,CS
Katharine Hepburn,starring in Hollywood movies,CS + DS
Jason Voorhees,terrorizing sleepers,DS
Tom Wolfe,writing about social problems,CS + DS
Donald Rumsfeld,promoting new wars,CS
Nancy Drew,interpreting evidence,DS
Chris Rock,cross-dressing in women's clothes,CS + DS
Buffy Summers,killing demons,DS
Freddie Mercury,writing pop songs,CS
Frasier Crane,offering advice,DS
Gwyneth Paltrow,picking weird children names,CS
Mata Hari,selling military secrets,CS
Jason Voorhees,creating nightmares,DS
G. Gordon Liddy,pulling dirty political tricks,CS
Mike Tyson,knocking out opponents,CS
Sherlock Holmes,interpreting evidence,DS
Oedipus Rex,solving riddles,DS
Truman Capote,coining sparkling witticisms,CS
Bridget Jones,reading Cosmopolitan,DS
Timothy McGee,solving crimes,DS
Yoda,promoting mysticism,DS
Jeff Koons,making modern art,CS
Selma Bouvier,watching MacGyver reruns,DS
Matt Drudge,ranting about liberals,CS
Gregor Mendel,tending the garden,CS
Tony DiNozzo,solving crimes,DS
Gordon Gekko,promoting greed,DS
